2026-04-05 13:48:19 | DEBUG | signal | ETHFIUSDT: Δ 2.5, cur: 0.04542357483533454, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | BOMEUSDT: Δ 2.5, cur: -0.027225701061803005, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | VANRYUSDT: Δ 2.5, cur: -0.27733755942947946, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | AEVOUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | METISUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | AXLUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | TONUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | PORTALUSDT: Δ 2.5, cur: -0.21413276231262512, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | GLMUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | STRKUSDT: Δ 2.5, cur: 0.2149877149877169, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | PIXELUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | PROMUSDT: Δ 5.0, cur: -0.0983284169124769, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | MAVIAUSDT: Δ 2.5, cur: -0.14529604068288549, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | DYMUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | RONUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | ZETAUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | JUPUSDT: Δ 2.5, cur: 0.18987341772151564, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | ALTUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | LSKUSDT: Δ 2.5, cur: -0.08216926869351097, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | UMAUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | ONDOUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | MANTAUSDT: Δ 5.0, cur: -0.16313213703099977, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | WIFUSDT: Δ 2.5, cur: -0.22766078542970047, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | XAIUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | POWRUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | NFPUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | MOVRUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | ACEUSDT: Δ 5.0, cur: 0.2620087336244495, ttl: 10
